time 00h 00m 10s, episodes 15, frames 0.0M, mean epr -247.58, run loss 1105.02
time 00h 10m 48s, episodes 1093, frames 0.1M, mean epr -484.38, run loss 2153.79
time 00h 10m 58s, episodes 1111, frames 0.1M, mean epr -492.50, run loss 2166.73
time 00h 11m 08s, episodes 1126, frames 0.1M, mean epr -484.89, run loss 2108.13
time 00h 11m 18s, episodes 1146, frames 0.1M, mean epr -496.64, run loss 2122.11
time 00h 11m 28s, episodes 1163, frames 0.1M, mean epr -492.69, run loss 2138.02
time 00h 11m 39s, episodes 1181, frames 0.1M, mean epr -497.79, run loss 2144.28
time 00h 11m 49s, episodes 1200, frames 0.1M, mean epr -497.30, run loss 2119.49
time 00h 11m 59s, episodes 1218, frames 0.1M, mean epr -483.67, run loss 2085.13
time 00h 12m 10s, episodes 1234, frames 0.1M, mean epr -490.82, run loss 2118.08
time 00h 12m 20s, episodes 1251, frames 0.1M, mean epr -492.76, run loss 2158.47
time 00h 12m 30s, episodes 1271, frames 0.1M, mean epr -494.32, run loss 2167.06
time 00h 12m 41s, episodes 1289, frames 0.1M, mean epr -487.24, run loss 2147.09
time 00h 12m 51s, episodes 1306, frames 0.1M, mean epr -485.74, run loss 2096.47
time 00h 13m 02s, episodes 1326, frames 0.1M, mean epr -478.16, run loss 2111.19
time 00h 13m 12s, episodes 1343, frames 0.1M, mean epr -473.60, run loss 2049.89
time 00h 13m 23s, episodes 1362, frames 0.1M, mean epr -460.56, run loss 1973.99
time 00h 13m 33s, episodes 1377, frames 0.1M, mean epr -448.78, run loss 1998.33
time 00h 13m 43s, episodes 1391, frames 0.1M, mean epr -449.57, run loss 1985.72
time 00h 13m 53s, episodes 1409, frames 0.1M, mean epr -451.78, run loss 1989.31
time 00h 14m 03s, episodes 1425, frames 0.1M, mean epr -459.94, run loss 2033.84
time 00h 14m 14s, episodes 1443, frames 0.2M, mean epr -459.47, run loss 2006.70
time 00h 14m 24s, episodes 1459, frames 0.2M, mean epr -454.62, run loss 1967.80
time 00h 14m 34s, episodes 1479, frames 0.2M, mean epr -459.89, run loss 1978.47
time 00h 14m 44s, episodes 1495, frames 0.2M, mean epr -468.39, run loss 2036.66
time 00h 14m 54s, episodes 1513, frames 0.2M, mean epr -459.93, run loss 2088.86
time 00h 15m 05s, episodes 1529, frames 0.2M, mean epr -461.79, run loss 2121.09
time 00h 15m 15s, episodes 1546, frames 0.2M, mean epr -474.76, run loss 2159.93
time 00h 15m 25s, episodes 1564, frames 0.2M, mean epr -478.51, run loss 2169.16
time 00h 15m 35s, episodes 1581, frames 0.2M, mean epr -475.48, run loss 2120.47
time 00h 15m 46s, episodes 1597, frames 0.2M, mean epr -474.63, run loss 2115.46
time 00h 15m 56s, episodes 1612, frames 0.2M, mean epr -482.77, run loss 2212.85
time 00h 16m 06s, episodes 1629, frames 0.2M, mean epr -494.49, run loss 2211.07
time 00h 16m 16s, episodes 1646, frames 0.2M, mean epr -499.42, run loss 2280.67
time 00h 16m 27s, episodes 1661, frames 0.2M, mean epr -503.48, run loss 2270.49
time 00h 16m 37s, episodes 1675, frames 0.2M, mean epr -504.30, run loss 2310.62
time 00h 16m 47s, episodes 1694, frames 0.2M, mean epr -520.06, run loss 2338.76
time 00h 16m 57s, episodes 1712, frames 0.2M, mean epr -521.30, run loss 2324.81
time 00h 17m 07s, episodes 1728, frames 0.2M, mean epr -519.34, run loss 2316.83
time 00h 17m 18s, episodes 1743, frames 0.2M, mean epr -509.61, run loss 2273.12
time 00h 17m 28s, episodes 1757, frames 0.2M, mean epr -501.71, run loss 2203.84
time 00h 17m 38s, episodes 1770, frames 0.2M, mean epr -496.22, run loss 2200.23
